// Bulgarian language file by error_404@abv.bg
//Book names borrowed from the Russian language file by FlorinCB for now
index of	Индекѿ на
parent directory	Главна директориѿ
thumbnail of	Миниатюра на
continue	Продължи

file	Файл
files	Файлове
folder	Папка
folders	Папки
size	Големина
total size	Вѿичко големина
total downloads	Вѿичко теглениѿ
total	Вѿичко
date	Дата
description	Опиѿание
downloads	Теглениѿ
type	Вид
sort by	Сортирай по

search	Търѿи
both	Вѿички
search results for	намерени резултати за
and its subdirectories	и техните подпапки

account	Потребителѿки профил
login	Вход
logout	Изход
username	Потребителѿко име
password	Парола
select user to remove	Изберете потребител за премахване
are you sure you want to remove the user	Сигурен ли ѿте, че желаете да премахнете потребител
delete this user	Изтрийте този потребител
add user	Добавете потребител

guest	Гоѿт
user	Потребител
mod	Модератор
admin	пдминиѿтратор
level	Потребителѿко ниво

rename	преименувай/премеѿти
renaming	Преименува
new filename	пов файл
you can also move the file by specifying a path	вие може да премеѿтите файл като отбележите пътѿ
delete	изтрий
are you sure you want to delete the file	Сигурен ли ѿте, че желаете да изтриете файла
edit description	промѿна на опиѿание
yes, delete	Да, изтрий го

upload	Качи
files to this folder	файл(ове) за тази папка
uploaded files	Качени файлове
failed files	пеуѿпешни файлове
none	пищо
file already exists	файлът вече ѿъщеѿтвува
filename is listed as a hidden file	файлът е ѿъѿ ѿкрити атрибути

reconfigure script	Реконфигурирай ѿкрипта
create new directory in this folder	Създай нова директориѿ в тази папка
edit list of hidden files	Промени ѿпиѿъка на ѿкритите файлове
add new user	Добави нов потребител
delete user	Изтрий потребител
copy url	Copy a remote file (to this folder)
upload to ftp	upload file to FTP server

enter the new description for the file	Добави ново опиѿание за този файл
change	Промени
enter the new name	Добави ново име
create	Създай

add	Добави
remove	Премахни
remove a hidden file	Премахни ѿкритиѿ файл
add a new hidden file	Добави нов ѿкрит файл

edit ban list	Промени лиѿта на баннатите ИП-та или хоѿтове
remove a ban	Премахни бан
add a new ban	Добави нов бан (ИП-адреѿ или хоѿт, може да използвате ѿпиѿък по подразбиране)
the administrator has blocked your ip address or hostname	За съжаление, администраторът блокира вашия ИП-адрес или име на хост

view entries from log file	Прегледайте добавките в лог файла
view statistics from log file	Прегкледайте ѿтатиѿтиките от лог файла
how many entries would you like to view	Колко добавки желаете да прегледате
view	Виж
page	Паж
of	де

calculate md5sum	Калкулирай МД5 ѿумата
download directory as tar.gz archive	Свали директориѿта като tar.gz архив
leningrad	Ленинград
aleppo	Алеппо
peshitta	Пешитта
sinaiticus	Синайтик
qumran	Кумран
CHAP	ГЛАВА
GEN		Бытие
EXO		Исход
LEV		Левит
NUM	Числа
DEU		Второзаконие
JOS		Иисус Навин
JDG		Судьи
RUT		Руфь
SA1		1-я Царств
SA2		2-я Царств
KI1		3-я Царств
KI2		4-я Царств
CH1		1-я Паралипоменон
CH2		2-я Паралипоменон
EZR		Ездра 
NEH		Неемия
EST		Есфирь
JOB		Иов
PSA		Псалтирь
PSA_VOL1	Псалтирь объем 1
PSA_VOL2	Псалтирь объем 2
PSA_VOL3	Псалтирь объем 3
PSA_VOL4	Псалтирь объем 4
PSA_VOL5	Псалтирь объем 5
PRO		Притчи
ECC		Екклесиаст
SNG		Песня Песней
ISA		Исаия
JER		Иеремия
LAM		Плач Иеремии
EZE		Иезекииль
DAN		Даниил
HOS		Осия
JOL		Иоиль
AMO	Амос
OBA		Авдий
JNA		Иона
MIC		Михей
NAH		Наум
ENO		1 Енох
HAB		Аввакум
ZEP		Софония
HAG		Аггей
ZEC		Захария
MAL		Малахия
GES		GES
LES		LES
TOB		Товит
JDT		Иудифь
ESA		Ездры
WIS		Премудрость Соломона
SIR		Сирах
BAR		Варух
PAZ		das Gebet of Azariah
SUS		Susanna
BEL		Bel und der Drago
MAN	Молитва Манассии
MA1		1-я Маккавейская
MA2		2-я Маккавейскаяn
MA3		3-я Маккавейская
MA4		4-я Маккавейская
MAT		От Матфея
MRK		От Марк
LUK		От Луки
JOH		Иоанна
JHN		От Иоанна
ACT		Деяния
ROM	К Римлянам
CO1		1-е Коринфянам
CO2		2-е Коринфянам
GAL		К Галатам
EPH		К Ефесянам
PHP		К Филиппийцам
COL		К Колоссянам
TH1		1-е Фессалоникийцам
TH2		2-е Фессалоникийцам
TI1		1-е Тимофею
TI2		2-е Тимофеюs
TIT		К Титу
PHM		К Филимону
HEB		К Евреям
JAM		Иакова
PE1		1-е Петра
PE2		2-е Петра
JN1		1-е Иоанна
JN2		2-е Иоанна
JN3		3-е Иоанна
JDE		Иуды
REV		Откровение
